"trust_1","trust_0","spatial_distance","target","followerid","social_distance","spatial_distance-2","trust","s_res","t_res","tage","tlon","tlat","fage","flon","flat"
"1","0.333333333333333",48,"170963694","25632710","315954716",48,"0.666666666666667","4","3","315954716","-118.24368","34.05223","358305110","104.64776","21.13627"
"1","1",0,"170963694","70461337","315954716",0,"1","4","4","315954716","-118.24368","34.05223","344168435","-117.90201","34.13473"
"1","0.777777777777778",16,"170963694","86500955","315954716",16,"0.888888888888889","4","4","315954716","-118.24368","34.05223","338927010","-83.92074","35.96064"
"1","0.722222222222222",20,"170963694","15490803","315954716",20,"0.861111111111111","4","5","315954716","-118.24368","34.05223","379459465","-71.05977","42.35843"
"0.408725964686318","0.444444444444444",40,"170963694","734325671313473537","131999458",40,"0.426585204565381","4","4","315954716","-118.24368","34.05223","131999458","12.51133","41.89193"
"0.633493111828665","0.944444444444444",4,"170963694","2372919877","201928283",4,"0.788968778136554","4","6","315954716","-118.24368","34.05223","201928283","-121.90662","37.42827"
"1","0.944444444444444",4,"170963694","52925593","315954716",4,"0.972222222222222","4","5","315954716","-118.24368","34.05223","349412771","-123.11934","49.24966"
"1","0.777777777777778",16,"170963694","73021562","315954716",16,"0.888888888888889","4","6","315954716","-118.24368","34.05223","343361095","-79.58948","40.01785"
"1","0.833333333333333",12,"170963694","151890351","315954716",12,"0.916666666666667","4","5","315954716","-118.24368","34.05223","320250026","-90.19789","38.62727"
"0.495855107487574","0.944444444444444",4,"170963694","3374269216","159106794",4,"0.720149775966009","4","5","315954716","-118.24368","34.05223","159106794","-122.67621","45.52345"
"0.989360441158885","0.444444444444444",40,"170963694","185245761","312644571",40,"0.716902442801665","4","5","315954716","-118.24368","34.05223","312644571","-2.45974","36.83814"
"0.291868620095862","0",96,"1152674269","982478916299436032","72835130",96,"0.145934310047931","6","5","235958988","-118.40036","34.07362","72835130","31.0292","-29.8579"
"1","0.722222222222222",20,"170963694","42296880","315954716",20,"0.861111111111111","4","6","315954716","-118.24368","34.05223","352706290","-73.63512","43.29924"
"0.438233613861353","0.777777777777778",16,"170963694","4879962268","141179782",16,"0.608005695819565","4","4","315954716","-118.24368","34.05223","141179782","-87.65005","41.85003"
"1","0.5",36,"170963694","61762152","315954716",36,"0.75","4","6","315954716","-118.24368","34.05223","346867022","-2.89189","53.1905"
"0.90947568098108","0.5625",7,"821439445","1458685543","226371163",7,"0.73598784049054","1","5","248540633","-1.61125","53.13543","226371163","-88.14729","41.78586"
"1","0.722222222222222",20,"170963694","29578130","315954716",20,"0.861111111111111","4","6","315954716","-118.24368","34.05223","356764130","-74.00597","40.71427"
"1","0.722222222222222",20,"170963694","64297634","315954716",20,"0.861111111111111","4","3","315954716","-118.24368","34.05223","346045612","-73.14791","44.54394"
"1","0.5",36,"170963694","108239566","315954716",36,"0.75","4","5","315954716","-118.24368","34.05223","331498077","2.3488","48.85341"
"1","0",56,"2923230219","801702871","177412041",56,"0.5","4","5","177412041","28.18783","-25.74486","249183304","-90.19789","38.62727"
"0.807787898197819","0.333333333333333",48,"170963694","608980406","256154311",48,"0.570560615765576","4","6","315954716","-118.24368","34.05223","256154311","34.63886","36.81196"
"0.471107417349525","0.444444444444444",40,"170963694","3920876321","151407373",40,"0.457775930896985","4","5","315954716","-118.24368","34.05223","151407373","8.55","47.36667"
"0.791298111094393","1",0,"158120995","723223465","252382158",0,"0.895649055547196","4","4","318926197","-68.96667","12.16667","252382158","-68.96667","12.16667"
"0.233837947646619","0.444444444444444",40,"170963694","962525133154824192","77588866",40,"0.339141196045532","4","2","315954716","-118.24368","34.05223","77588866","127.00889","37.29111"
"0.843782310958756","0.4375",54,"1152674269","2414626382","199972965",54,"0.640641155479378","6","1","235958988","-118.40036","34.07362","199972965","10.5","51.5"
"1","0.96875",3,"1152674269","312950984","235958988",3,"0.984375","6","4","235958988","-118.40036","34.07362","288424464","-118.24368","34.05223"
"0.332142294038474","1",0,"169711005","4891792256","140729313",0,"0.666071147019237","2","7","316236079","-83.00018","40.25034","140729313","-84.05299","39.05423"
"0.0978484060114496","0.857142857142857",2,"169711005","955938825519489024","79159068",2,"0.477495631577153","2","4","316236079","-83.00018","40.25034","79159068","-79.4163","43.70011"
"1","0.96875",3,"1152674269","32276202","235958988",3,"0.984375","6","4","235958988","-118.40036","34.07362","355973972","-118.24368","34.05223"
"0.598747341320489","1",0,"821439445","4027189996","150273572",0,"0.799373670660244","1","5","248540633","-1.61125","53.13543","150273572","-1.47663","52.92277"
"1","0.96875",3,"1152674269","365503829","235958988",3,"0.984375","6","4","235958988","-118.40036","34.07362","281107960","-118.24368","34.05223"
"1","0.5",36,"170963694","26875049","315954716",36,"0.75","4","5","315954716","-118.24368","34.05223","357803985","-15.41343","28.09973"
"1","0.989583333333333",1,"1152674269","30598668","235958988",1,"0.994791666666667","6","6","235958988","-118.40036","34.07362","356401779","-118.49119","34.01945"
"0.4210186328346","0.5",36,"170963694","718284743566077952","135823913",36,"0.4605093164173","4","5","315954716","-118.24368","34.05223","135823913","12.56553","55.67594"
"0.444723270816599","0.444444444444444",40,"170963694","4796487029","143198823",40,"0.444583857630522","4","1","315954716","-118.24368","34.05223","143198823","12.83333","42.83333"
"0.431054752760823","0",16,"821439445","829915081588699137","109205538",16,"0.215527376380411","1","4","248540633","-1.61125","53.13543","109205538","151.20732","-33.86785"
"1","0.4375",9,"821439445","133937052","248540633",9,"0.71875","1","4","248540633","-1.61125","53.13543","324442950","-118.24368","34.05223"
"0.987939395857606","0.444444444444444",40,"170963694","187244542","312202460",40,"0.716191920151025","4","5","315954716","-118.24368","34.05223","312202460","-43.93951","-20.84072"
"0.190729889752996","0.222222222222222",56,"170963694","1018792725401833473","64177227",56,"0.206476055987609","4","4","315954716","-118.24368","34.05223","64177227","77.59369","12.97194"
"0.783768407354136","0.277777777777778",52,"170963694","814007012","248681445",52,"0.530773092565957","4","5","315954716","-118.24368","34.05223","248681445","47.65056","29.3525"
"0.583826780158144","1",0,"157819685","2614370496","190979269",0,"0.791913390079072","5","5","319000342","-117.56644","33.87529","190979269","-117.56644","33.87529"
"0.935748050186163","1",0,"170963694","264848020","295964858",0,"0.967874025093081","4","6","315954716","-118.24368","34.05223","295964858","-118.14452","34.14778"
"1","0.9375",1,"821439445","80833698","248540633",1,"0.96875","1","6","248540633","-1.61125","53.13543","340907511","-4.49581","55.61171"
"0.847099863503654","0.944444444444444",4,"170963694","474255272","268384922",4,"0.895772153974049","4","5","315954716","-118.24368","34.05223","268384922","-116.20345","43.6135"
"0.212099025088501","0.5",36,"170963694","990907751692931072","70825523",36,"0.356049512544251","4","5","315954716","-118.24368","34.05223","70825523","-1.4659","53.38297"
"0.618233017949892","1",-1,"158120995","2515292740","197200816",-1,"0.809116508974946",NULL,NULL,"318926197","-68.96667","12.16667","197200816",NULL,NULL
"1","1",-1,"170963694","15634736","315954716",-1,"1",NULL,NULL,"315954716","-118.24368","34.05223","378645478",NULL,NULL
"0.797852737296985","0.777777777777778",16,"170963694","708415076","253063316",16,"0.787815257537381","4","4","315954716","-118.24368","34.05223","253063316","-87.65005","41.85003"
"1","0.444444444444444",40,"170963694","30644938","315954716",40,"0.722222222222222","4","0","315954716","-118.24368","34.05223","356370734","105","46"
"0.877716466139642","0.972222222222222",2,"170963694","386601447","277910260",2,"0.924969344180932","4","6","315954716","-118.24368","34.05223","277910260","-117.56418","33.96358"
"0.448392404635311","0.444444444444444",40,"170963694","4664867614","144340352",40,"0.446418424539878","4","4","315954716","-118.24368","34.05223","144340352","12.33265","45.43713"
"0.894344101746266","0.777777777777778",16,"170963694","351051131","283083396",16,"0.836060939762022","4","4","315954716","-118.24368","34.05223","283083396","-87.65005","41.85003"
"0.797814320850797","0.5",36,"170963694","708646050","253051364",36,"0.648907160425398","4","6","315954716","-118.24368","34.05223","253051364","-0.5805","44.84044"
"0.933736271669048","0.444444444444444",40,"170963694","268991406","295338960",40,"0.689090358056746","4","7","315954716","-118.24368","34.05223","295338960","-0.93268","41.59466"
"0.884425083945245","0",16,"821439445","1646828636","220236254",16,"0.442212541972622","1","3","248540633","-1.61125","53.13543","220236254","144.96332","-37.814"
"0.777123972491446","0.5",36,"170963694","860308746","246614250",36,"0.638561986245723","4","5","315954716","-118.24368","34.05223","246614250","-2.11667","49.21667"
"0.685772446975879","1",-1,"170963694","1708098541","218193260",-1,"0.842886223487939",NULL,NULL,"315954716","-118.24368","34.05223","218193260",NULL,NULL
"0.665404312059017","1",-1,"170963694","2175243825","211856392",-1,"0.832702156029508",NULL,NULL,"315954716","-118.24368","34.05223","211856392",NULL,NULL
"0.910282230928271","0.222222222222222",56,"170963694","315695806","288042015",56,"0.566252226575247","4","7","315954716","-118.24368","34.05223","288042015","107.5425","-6.87222"
"1","1",-1,"170963694","161142886","315954716",-1,"1",NULL,NULL,"315954716","-118.24368","34.05223","318044764",NULL,NULL
"0.680440512954312","0.986111111111111",1,"170963694","1873513717","216534406",1,"0.833275812032712","4","6","315954716","-118.24368","34.05223","216534406","-118.49119","34.01945"
"1","1",-1,"170963694","151086060","315954716",-1,"1",NULL,NULL,"315954716","-118.24368","34.05223","320418826","13.01667","57.73333"
"0.990792238050903","1",-1,"170963694","183191803","313090027",-1,"0.995396119025451",NULL,NULL,"315954716","-118.24368","34.05223","313090027",NULL,NULL
"1","1",-1,"158120995","23184896","318926197",-1,"1",NULL,NULL,"318926197","-68.96667","12.16667","359483204",NULL,NULL
"0.620195737881759","1",-1,"158120995","2456557536","197826624",-1,"0.81009786894088",NULL,NULL,"318926197","-68.96667","12.16667","197826624",NULL,NULL
"0.911842282713888","0",-1,"29464656","126353277","326378671",-1,"0.455921141356944",NULL,NULL,"356963969",NULL,NULL,"326378671",NULL,NULL
"0.806602323983498","1",-1,"170963694","612708685","255785459",-1,"0.903301161991749",NULL,NULL,"315954716","-118.24368","34.05223","255785459",NULL,NULL
"0.875657290013005","0",-1,"113431968","305802645","289469659",-1,"0.437828645006503",NULL,NULL,"330162200","34.78057","32.08088","289469659",NULL,NULL
"0.725897233103649","1",-1,"158120995","1307203219","231529263",-1,"0.862948616551825",NULL,NULL,"318926197","-68.96667","12.16667","231529263",NULL,NULL
"1","1",-1,"158120995","132412075","318926197",-1,"1",NULL,NULL,"318926197","-68.96667","12.16667","324777103","-16.0294","17.98837"
"0.754033746401981","1",-1,"158120995","1008890269","240500515",-1,"0.87701687320099",NULL,NULL,"318926197","-68.96667","12.16667","240500515",NULL,NULL
"0.49309736785534","1",-1,"170963694","3389314343","158248815",-1,"0.74654868392767",NULL,NULL,"315954716","-118.24368","34.05223","158248815",NULL,NULL
"0.413567362603582","1",-1,"170963694","728008041954582529","133505698",-1,"0.706783681301791",NULL,NULL,"315954716","-118.24368","34.05223","133505698","-96.45307","37.14988"
